id_movimiento,id_efectivo,id_unidad_destino,id_rango,id_tipo,fecha_movimiento,antiguedad_anios,salario_mensual,observaciones
102,901,14,1,1,08/02/2022,CERO,2215,"Ref: Alta por
convocatoria anual"
103,1101,21,2,1,02-13-2022,0 años,"2,160.74 Bs",N/A
104,138,10,1,4,20-07-2021,veintidós,2337,"CAMBIO DE DESTINO
POR REQUERIMIENTO OPERACIONAL"
105,709,6,10,4,19-09-2023,veinticuatro años,"Bs. 5,600.11",ASIGNACIÓN TEMPORAL ZONA OPERACIONES
106,388,39,4,3,20220828,dos años,3685,Ascenso aniversario patrio 6 agosto
107,869,9,2,1,2023/02/13,0 años,"2,390.46",Servicio premilitar completado
108,650,2,4,3,09-30-2024,cuatro,"Bs. 3,643.24","Ascenso post
curso especialización"
109,773,14,4,3,20210808,aprox. 20,"3,476.43",
110,127,34,4,3,2021/08/10,4,"3,801.96",
111,1057,14,11,3,13-08-2022,12.5 años,"6,690.75",Ref: S/N
112,109,40,11,4,21/03/2022,3,"Bs.- 7,095.65",Traslado disciplinario
113,557,30,3,4,07-11-2023,9,"Bs.2,565.98",Traslado — orden de comando
114,286,27,1,1,10/04/2022,  0 años  ,2166.80,"Ingreso voluntario
servicio activo"
115,1087,44,12,6,25/01/2022,UNO,9623,"Reincorporación
tras permiso especial"
116,476,34,1,1,02/11/2025,0,"Bs.2,400.31",Incorporación por sorteo cuartel
117,974,45,2,1,2023/10/31,cero,"Bs 2.195,16",INCORPORACIÓN CLASE 2023
118,570,3,3,4,07-22-2025,dieciséis,3265,Rotación periódica anual
119,64,29,13,1,06-07-2024,cero,"8,954.15 Bs",
120,750,24,4,4,20250916,  11 años  ,3515.38,Traslado disciplinario
121,404,12,1,6,20-02-2025,22 años,"Bs.2,407.10",Retorno al servicio activo
122,325,17,1,2,12/04/2025,tres,2506,Cumplimiento tiempo de servicio
123,333,45,3,2,08-09-2022,12 a.,3335.83,Cumplimiento del servicio militar
124,673,28,4,2,2021/08/10,14,"3,123.61 Bs",Baja — sanción disciplinaria
125,463,10,5,3,16/03/2023,aprox. 2,3319,Ascenso—antigüedad cumplida
126,600,49,1,4,20230718,quince años,"Bs. 2,253.30",
127,985,34,16,3,2023/07/23,diez años,"17,035.56 Bs","ASCENSO SEGÚN
NORMATIVA VIGENTE"
128,535,20,5,4,22/02/2021,"8,0 años",4192,
129,657,12,2,4,30/09/2021,3 a.,"Bs. 2,799.76",Traslado por necesidad del servicio
130,602,43,1,1,03-12-2024,cero,2267.90,
131,466,28,9,2,2023-01-21,13 años,"Bs. 5,668.39","Baja definitiva
por solicitud"
132,943,4,13,1,02-11-2023,  0 años  ,"Bs. 10,157.76",Alta por reclutamiento directo
133,240,11,4,2,11-05-2024,dieciséis años,"Bs. 3,122.29",
134,214,37,1,4,2023/07/27,8 años,"Bs. 2,025.20",S/N
135,26,41,3,4,18/09/2025,"11,0 años","Bs.3,149.76",ROTACIÓN PERIÓDICA ANUAL
136,566,18,4,2,02/03/2023,veinte,"Bs.3,035.38","Baja por
inaptitud física"
137,504,31,10,5,2025/11/21,"20,0 años",5551,
138,60,36,6,3,22-08-2022,veinte,BS 4826,Promoción — Resolución Ministerial 351
139,20,31,1,1,2023/02/03,aprox. 0,2441.02,"Ingreso voluntario
servicio activo"
140,534,33,4,1,17-12-2022,cero,"Bs.3,632.46",INGRESO VOLUNTARIO AL SERVICIO
141,820,4,4,1,2023/04/30,0 años,"3,218.23","Ingreso voluntario
servicio activo"
142,594,38,2,2,13-01-2022,cinco años,2853.48,"Baja definitiva
por solicitud"
143,689,1,3,6,2021/05/22,8 años,BS 2900,Retorno al servicio — autorizado
144,667,15,4,2,26/09/2023,aprox. 25,"Bs. 3,641.33",Baja voluntaria solicitada
145,884,32,6,3,20220702,aprox. 20,"Bs. 3,599.22",Ascenso aniversario patrio 6 agosto
146,1048,45,13,1,07-01-2023,CERO,12024,Sin observaciones
147,863,31,1,4,22/05/2024,23 años,"Bs. 2,251.88",S/N
148,840,8,4,1,08-11-2022,cero,"Bs.3,403.41",Incorporación clase 2022
149,438,38,1,1,26-02-2023,aprox. 0,BS 2493,
150,184,31,4,1,20240105,"0,0 años",3878,INCORPORACIÓN SERVICIO MILITAR OBLIGATORIO
151,544,38,1,6,2021/03/06,VEINTICUATRO,"Bs. 2,242.19",Reintegro — fin de licencia anual
152,609,7,1,6,05/07/2025,SIETE,"Bs. 1,923.62",Retorno al servicio activo
153,858,23,2,4,03-01-2021,  24 años  ,"Bs 2.244,21",  Traslado disciplinario  
154,829,1,6,4,2023-08-12,  4 años  ,"Bs 4.204,90",
155,434,42,2,1,10/10/2023,0,2535.46,Incorporación servicio militar obligatorio
156,172,23,6,3,03/05/2025,"2,0 años","Bs. 4,162.31",Ascenso por antigüedad y méritos
157,822,44,1,1,04-26-2021,cero años,"Bs.- 2,421.66","ingreso voluntario
servicio activo"
158,560,28,1,6,05-06-2025,diecisiete,"Bs 1.931,35",Reincorporación voluntaria
159,344,4,2,3,21/08/2025,2 años,"2,364.50 Bs",Promoción — Resolución Ministerial 374
160,629,40,1,4,30-07-2021,6.5,"Bs. 2,165.65",Traslado — orden de comando
161,485,8,2,1,2025/02/24,CERO,"Bs.- 2,720.25",Alta por reclutamiento directo
162,748,24,3,1,02/12/2022,0,"Bs.- 2,577.91",
163,563,38,2,4,15-01-2024,veintidós años,"Bs.2,127.26",Asignación temporal zona operaciones
164,821,29,5,3,2022/07/13,7.5 años,"3,733.50 Bs",Ascenso aniversario patrio 6 agosto
165,480,3,12,4,2021/08/09,4.5 años,"Bs.- 9,782.03",TRASLADO DISCIPLINARIO
166,1053,39,9,1,06-29-2025,cero,"Bs 5.294,74","ALTA POR
CONVOCATORIA ANUAL"
167,514,43,4,3,01/08/2024,seis,"Bs. 2,972.96",ascenso por antigüedad y méritos
168,33,42,3,2,2024/01/16,13 años,2563,"Baja definitiva
por solicitud"
169,374,4,1,4,25/08/2021,5,2096,  Asignación temporal zona operaciones  
170,486,45,6,3,26/08/2023,aprox. 7,3626.24,Ascenso por antigüedad y méritos
171,338,46,5,3,2025-10-02,20 a.,"Bs. 4,053.13",Promoción regular — escalafonamiento
172,1118,27,10,4,2022/07/23,trece,"Bs. 6,695.46",Traslado a zona de frontera
173,526,3,1,4,2023/07/27,  22 años  ,"Bs 2.287,75","Cambio de destino
por requerimiento operacional"
174,1013,32,1,1,19/02/2022,  0 años  ,"1,981.93",N/A
175,1157,25,4,4,08-07-2024,dieciocho años,3392.89,traslado — orden de comando
176,985,30,2,1,2023-02-28,"0,0 años","Bs. 2,470.66",Alta por convocatoria 2023
177,1157,25,4,4,08-07-2024,dieciocho años,3392.89,traslado — orden de comando
178,737,21,4,5,20240805,  23 años  ,BS 3425,Permiso por matrimonio
179,1020,9,6,3,22/06/2021,"3,0 años",3910,Promoción — Resolución Ministerial 190
180,181,12,8,3,23/02/2022,"15,5 años","5,740.45",Ascenso—antigüedad cumplida
181,411,33,10,4,07/06/2023,  4 años  ,5868,Cambio destino — solicitud personal
182,869,3,7,4,2023-02-20,18 años,5174.77,
183,947,21,2,1,15-04-2022,0 a.,2411.17,servicio premilitar completado
184,578,27,1,5,2023/01/10,21 a.,2025,Permiso por fallecimiento familiar
185,243,11,1,1,21/08/2024,0 años,"1,946.38",incorporación clase 2024
186,131,17,3,5,04-20-2024,veinticuatro años,"2,973.68 Bs",LICENCIA — TRÁMITES PERSONALES
187,1089,36,4,4,2022/09/10,doce años,3353,S/N
188,582,5,9,5,10-15-2022,18.5 años,6558,Permiso por estudios — 15 días
189,1127,50,6,4,2023/05/20,7,"Bs. 4,525.20",Traslado disciplinario
190,261,21,4,1,27/02/2025,cero años,"Bs 3.236,76",  Sin observaciones  
191,789,47,8,1,02-08-2025,cero años,"4,898.92 Bs",S/N
192,879,44,1,1,14/01/2021,0 años,"Bs 2.032,62",Incorporación servicio militar obligatorio
193,1088,14,5,1,02-19-2021,0 a.,4173,Sin observaciones
194,1174,50,1,5,2025/12/25,VEINTICINCO,"Bs 2.010,53",  S/N  
195,1012,29,4,1,07/01/2023,  0 años  ,BS 3240,Incorporación servicio militar obligatorio
196,135,19,11,5,2021/03/11,24 años,"Bs. 6,807.46","Licencia médica
autorizada por sanidad"
197,1105,3,7,2,19/06/2024,veinte,BS 5441,Cumplimiento tiempo de servicio
198,1017,23,1,1,06/03/2024,aprox. 0,"Bs. 2,103.58",Reclutamiento zona Pando
199,969,23,2,1,03-03-2025,0 años,"Bs.- 2,498.74",
200,604,14,5,1,08/09/2022,0 años,3710,INGRESO — PROCESO REGULAR
201,325,18,2,4,17/08/2023,22 años,"Bs. 2,438.11",ASIGNACIÓN TEMPORAL ZONA OPERACIONES
202,1006,3,4,6,2025/07/25,10,BS 3349,"Reincorporación
tras permiso especial"
203,241,34,12,1,2023-12-18,cero años,9595,
204,910,25,1,4,20250701,  8 años  ,"2,155.71 Bs",S/N
205,950,39,2,5,11/01/2024,20 años,"2,858.81 Bs",Licencia — trámites personales
206,655,36,10,4,08-31-2024,12.5,"5,870.57",CAMBIO DESTINO — SOLICITUD PERSONAL
207,1134,35,2,6,26-05-2024,17 años,"Bs.- 2,219.67",Reincorporación voluntaria
208,962,36,3,3,10-04-2025,DOCE,"Bs. 3,384.99",Promoción regular — escalafonamiento
209,768,43,2,6,20240110,  13 años  ,"Bs 2.299,40",
210,450,20,1,2,02-18-2023,TRES,1956,Retiro por edad límite
211,168,42,2,2,04-19-2022,3 años,"Bs 2.574,32",Baja voluntaria solicitada
212,493,47,13,5,16/08/2025,10 años,"10,716.27",Licencia anual ordinaria
213,231,9,7,1,20211030,cero años,"Bs.- 5,152.81",Sin observaciones
214,680,8,6,3,30/11/2025,15 años,4741.60,Ascenso—antigüedad cumplida
215,92,16,3,1,11-22-2024,  0 años  ,"Bs. 3,326.09",Ingreso — proceso regular
216,409,23,1,1,01/02/2022,cero,1912,Incorporación por sorteo cuartel
217,1127,31,1,2,20250720,aprox. 9,"Bs. 1,875.40",Retiro por edad límite
218,201,21,12,3,20250112,"3,0 años",BS 9640,"Ascenso post
curso especialización"
219,212,8,14,2,05-08-2025,tres,"Bs. 12,531.09",
220,224,28,1,4,2022/07/07,dieciocho,"2,209.12 Bs",Rotación periódica anual
221,208,36,2,4,11-06-2023,"22,0 años","Bs.2,624.62",Cambio destino — solicitud personal
222,663,2,3,4,2023/06/07,5 a.,3439.80,Traslado a zona de frontera
223,898,28,12,1,10/01/2025,cero años,7573,Alta por reclutamiento directo
224,709,6,10,4,19-09-2023,veinticuatro años,"Bs. 5,600.11",ASIGNACIÓN TEMPORAL ZONA OPERACIONES
225,30,9,3,5,20220905,13 años,3442,Permiso por estudios — 14 días
226,208,36,2,4,11-06-2023,"22,0 años","Bs.2,624.62",Cambio destino — solicitud personal
227,1105,4,12,5,10/07/2023,seis años,9602,Licencia sin goce de haberes
228,1077,40,11,1,20230206,cero años,"7,352.44",S/N
229,917,9,4,6,2025-01-27,aprox. 1,3718,Reintegro — fin de licencia anual
230,887,38,3,2,01-08-2022,9,"2,802.94 Bs",Baja—sanción disciplinaria
231,386,4,12,3,20210801,"4,0 años","10,014.69",s/n
232,1089,26,8,2,31/05/2024,23 años,5524,Retiro voluntario — motivos familiares
233,696,4,2,3,09-05-2023,siete,2281,
234,335,5,2,5,05-22-2021,3 a.,"Bs. 2,852.35",Permiso por matrimonio
235,393,23,3,1,2024-01-08,0 a.,"Bs.2,577.53",Reclutamiento zona Pando
236,623,12,10,4,12/09/2021,13,"7,031.82 Bs",Traslado — orden de comando
237,647,20,3,3,31/08/2022,  3 años  ,"Bs.- 3,302.16",Ascenso — antigüedad cumplida
238,642,34,5,1,2023/05/31,aprox. 0,3358,INGRESO VOLUNTARIO AL SERVICIO
239,519,6,11,6,11-06-2021,veintitrés años,"Bs 8.395,51",Reincorporación post licencia médica
240,46,14,2,4,30/07/2022,22.5,"Bs. 2,864.75","Cambio de destino
por requerimiento operacional"
241,825,49,2,1,23-02-2021,0 a.,2301,"Ingreso voluntario
servicio activo"
242,807,42,2,1,12-22-2021,CERO,"2,492.19",alta por convocatoria 2021
243,552,3,7,1,20/02/2023,0,4785.94,
244,854,45,1,1,28/02/2023,cero,"Bs. 1,873.93",Alta por reclutamiento directo
245,90,20,1,1,21/12/2023,CERO,2199,INCORPORACIÓN CLASE 2023
246,312,19,1,5,01/09/2025,1 año,2133,licencia — trámites personales
247,43,3,1,4,20221225,3 a.,"Bs.2,426.09","Cambio de destino
por requerimiento operacional"
248,761,33,5,1,23-06-2023,CERO,3504,Sin observaciones
249,534,14,9,6,2024/01/09,TRES,"Bs 6.307,91","Reincorporación
tras permiso especial"
250,355,43,7,6,08-08-2025,21,"4,655.70 Bs",Reincorporación voluntaria
251,1144,50,10,3,20250618,20 años,"5,797.36",S/N
252,385,47,5,6,03/01/2024,5,"3,506.64 Bs",Reincorporación — apto por sanidad militar
253,697,29,10,3,08-13-2023,18,"6,477.72",Promoción — curso de comando aprobado
254,978,1,7,3,2022/08/21,veinte,"Bs.4,318.21",Promoción regular — escalafonamiento
255,887,15,2,4,20220810,25 años,2494,S/N
256,499,17,4,4,06-27-2024,"20,0 años",3538,S/N
257,67,11,11,4,18/09/2023,22 años,"Bs.- 6,828.17","Rotación por
necesidad institucional"
258,164,12,3,4,25-07-2025,veinticinco años,2959.24,Rotación periódica anual
259,179,13,3,6,02/08/2023,24.5,2995.36,Reincorporación post licencia médica
260,243,38,7,3,21-11-2021,cuatro años,"Bs. 5,351.74",Ascenso — antigüedad cumplida
261,788,13,5,3,05-09-2024,10 a.,"3,516.09 Bs","Ascenso post
curso especialización"
262,453,30,1,5,07-01-2025,aprox. 21,"Bs. 2,257.01",licencia — trámites personales
263,668,13,8,4,2025/07/20,22 a.,5641,Traslado disciplinario
264,1185,4,1,1,20251205,cero,BS 2238,RECLUTAMIENTO ZONA BENI
265,760,37,10,4,2022/08/31,1 a.,BS 5940,Asignación temporal zona operaciones
266,1047,5,9,1,2021-01-12,cero,BS 6337,Ingreso — proceso regular
267,762,44,3,1,10/07/2022,cero,3434,"Ingreso voluntario
servicio activo"
268,956,48,7,4,04-14-2023,24 años,"5,435.78 Bs",S/N
269,569,48,3,1,20240117,0,3082.08,"ALTA POR
CONVOCATORIA ANUAL"
270,335,24,8,3,09-28-2024,DIECIOCHO,"4,979.13",Promoción — curso de comando aprobado
271,483,15,1,1,13/11/2021,"0,0 años","Bs. 2,311.14",Sin observaciones
272,572,39,5,2,31-08-2022,  4 años  ,"3,242.1",Baja voluntaria solicitada
273,1200,40,1,4,20241223,cinco años,1878.48,
274,573,2,4,2,16/07/2021,25 a.,"Bs 3.498,80",BAJA POR MOTIVOS DE SALUD
275,415,25,1,1,2022-02-28,cero años,2379,Incorporación servicio militar obligatorio
276,66,21,3,5,10/07/2024,UNO,"Bs. 3,156.62",Licencia — trámites personales
277,596,5,3,3,08/08/2021,15 años,2818,S/N
278,405,26,7,1,01-15-2024,0,"Bs. 4,402.58",S/N
279,644,49,11,4,07-06-2023,"19,0 años","Bs 8.553,77",Cambio destino — solicitud personal
280,221,23,6,5,07-05-2022,SEIS,3859,  Licencia — trámites personales  
281,399,30,2,1,02/01/2022,aprox. 0,"Bs 2.233,57",Servicio premilitar completado
282,247,8,2,4,07-22-2023,QUINCE,"Bs.- 2,492.66",S/N
283,745,8,2,5,05-11-2022,trece años,"Bs 2.576,91",Permiso por estudios—7 días
284,53,44,4,1,2023/02/13,0 años,"Bs. 3,501.57",Ingreso voluntario al servicio
285,1151,8,5,5,2024/08/05,12 a.,3336,S/N
286,858,31,9,4,10-03-2023,12 años,"Bs.6,334.45",TRASLADO POR NECESIDAD DEL SERVICIO
287,457,1,14,3,27/08/2024,veinte,"Bs 14.173,91",Promoción — curso de comando aprobado
288,621,28,11,3,08-12-2024,dos años,"Bs 7.495,25",Promoción regular — escalafonamiento
289,447,11,9,1,10/11/2022,CERO,6574,"Ingreso voluntario
servicio activo"
290,576,5,6,5,28-08-2025,  16 años  ,"Bs. 3,736.25",Permiso por matrimonio
291,1162,33,4,4,27/01/2021,10 años,"2,990.70 Bs","Cambio de destino
por requerimiento operacional"
292,132,20,9,5,2023-04-02,6 años,5193,Licencia por enfermedad — 5 días
293,236,32,2,4,02/07/2024,  5 años  ,2608.80,Traslado por reorganización de unidades
294,402,12,1,5,2025/05/01,  21 años  ,2442,Licencia por enfermedad — 25 días
295,806,4,5,1,2022/01/02,0 años,BS 3536,
296,96,44,12,5,2025-07-26,4 a.,10086,Licencia por enfermedad — 7 días
297,1085,33,4,4,2025/08/02,aprox. 7,3276,Traslado — orden de comando
298,1196,17,11,3,2022-08-21,diez años,7656.26,"Ascenso según
normativa vigente"
299,973,30,4,1,2023-12-22,cero años,3805,
300,414,2,11,1,01-10-2024,0 años,"Bs.8,251.47",Sin observaciones
301,25,42,13,3,20220526,  15 años  ,"11,208.39 Bs",Promoción — curso de comando aprobado
302,52,17,1,6,23/01/2024,DOCE,"Bs 2.310,13",  S/N  
303,631,33,1,5,04/04/2022,"9,0 años",2500,"Licencia médica
autorizada por sanidad"
304,836,16,2,2,12/08/2023,dieciséis años,BS 2732,Ref: Sin obs.
305,7,28,9,2,20211227,veinticuatro,"Bs 5.982,71",Cumplimiento tiempo de servicio
306,513,44,13,6,15/07/2021,  16 años  ,"Bs.- 8,970.44",Ref: Retorno al servicio — autorizado
307,534,7,8,5,01/08/2023,"11,5 años","Bs.- 5,011.27",Licencia — trámites personales
308,222,28,7,3,2022/07/29,15 a.,"Bs.- 5,213.10","Ascenso según
normativa vigente"
309,1194,35,10,1,02-01-2025,"0,0 años","Bs 7.046,10",Alta por reclutamiento directo
310,500,49,6,6,29/05/2023,OCHO,4449,Reintegro — fin de licencia anual
311,171,2,3,6,19-12-2024,3 años,3415,"  Reincorporación
tras permiso especial  "
312,447,37,3,3,04/08/2024,20,2897.91,Ascenso — antigüedad cumplida
313,1181,22,13,3,26/07/2025,4 años,10299.97,ASCENSO ANIVERSARIO PATRIO 6 AGOSTO
314,1001,40,2,1,11/01/2021,0 a.,2668,Incorporación por sorteo cuartel
315,691,2,1,1,02-09-2021,0 años,"Bs 2.252,08",Servicio premilitar completado
316,1163,44,1,1,02-01-2023,0,2186.50,Reclutamiento zona Potosí
317,693,41,9,2,25/06/2024,dieciséis años,6140,Cumplimiento del servicio militar
318,1089,22,13,5,2021/09/10,13 años,"Bs 10.449,12",PERMISO POR ESTUDIOS — 20 DÍAS
319,27,41,3,5,2022/06/20,7,"2,929.85",Licencia anual ordinaria
320,812,18,11,5,01/04/2024,"13,0 años","Bs 7.248,78",Licencia por enfermedad — 12 días
321,557,26,2,2,04-01-2025,"1,0 años","Bs.- 2,623.19",S/N
